DocDate,DocRef,AcCode,Customer Name,Postal Code,TelNo,AcCur,AcCurWTaxAmt,HomeWTaxAmt,ProjectCode,Location,Sales Person,SalesPerson Name,Sales contact
20151125,D161000551,H0010USD,Honeydew Distribution Pte Ltd,106054,94510476,USD,-20000,-28000,P5035,5,S092,Eugiene,85094519
20151203,D161000568,H0010USD,Honeydew Distribution Pte Ltd,106054,94510476,USD,-29000,-40600,P5036,1,S090,Charles,85081768
20151211,D161000593,H0010USD,Honeydew Distribution Pte Ltd,106054,94510476,USD,-1139.58,-1595.41,P5037,3,S090,Charles,85081768
20151111,D161000506,J0014USD,Banana Assist Pte Ltd,995800,97240620,USD,-1100,-1540,P5038,5,S093,Lily,85089620
20151026,B161-0458,K0005USD,Honeyberry Dealer Pte Ltd,601097,99056754,USD,101352.25,141893.15,P5039,3,S091,Danny,85088856
20151127,B161-0556,K0005USD,Honeyberry Dealer Pte Ltd,601097,99056754,USD,86520.8,121129.12,P5040,1,S088,Ali,85084183
20151202,B161-0562,K0013USD,Kumquat Expert Pte Ltd,302576,99504953,USD,319769.6,447677.44,P5041,2,S095,Mary,85095164
20151124,B161-0524,K0020USD,Soursop Parallel Importer Pte Ltd,175575,97700134,USD,89775,125685,P5042,4,S095,Mary,85095164
20151130,B161-0555,L0002USD,Salak Relay Pte Ltd,867635,96059905,USD,201750,282450,P5043,3,S090,Charles,85081768
20151211,B161-0585,M0009USD,Kiwano (horned melon) Specialist Pte Ltd,135921,99503962,USD,132300,185220,P5044,4,S092,Eugiene,85094519
20151118,D161000522,M0032USD,Olive Import & Export Pte Ltd,321002,95287590,USD,-18810,-26334,P5045,3,S094,John,85084094
20151130,B161-0514,M0032USD,Olive Import & Export Pte Ltd,321002,95287590,USD,94050,131670,P5046,2,S088,Ali,85084183
20151211,B161-0604,N009USD,White Sapote Trading Pte Ltd,611106,95184981,USD,81262,113766.8,P5047,4,S093,Lily,85089620
20151210,B161-0593,P0002USD,Clementine Distribution Pte Ltd,538943,97645259,USD,236250,330750,P5048,1,S089,Bala,85084539
20151210,B161-0591,P0011SGD,Blackcurrant Trading Pte Ltd,172636,98957861,SGD,720.58,720.58,P5049,4,S088,Ali,85084183
20151123,D161000540,P0015USD,Bilberry Innovation Pte Ltd,536709,97223820,USD,-10075.44,-14105.62,P5050,3,S088,Ali,85084183
20151124,B161-0541,P0016SGD,Cherry Automation Pte Ltd,931860,99477183,SGD,2178.69,2178.69,P5051,2,S095,Mary,85095164
20151208,B161-0582,P0016SGD,Cherry Automation Pte Ltd,931860,99477183,SGD,1190,1190,P5052,2,S094,John,85084094
20151111,D161000505,P0017USD,Jabuticaba Import Pte Ltd,967333,96158910,USD,-1100,-1540,P5053,2,S091,Danny,85088856
20151119,B161-0517,P0017USD,Jabuticaba Import Pte Ltd,967333,96158910,USD,81000,113400,P5054,4,S090,Charles,85081768
20151207,D161000575,P0017USD,Jabuticaba Import Pte Ltd,967333,96158910,USD,-550,-770,P5055,2,S095,Mary,85095164
20151211,D161000592,P0017USD,Jabuticaba Import Pte Ltd,967333,96158910,USD,-1000,-1400,P5056,1,S094,John,85084094
20151022,D161000446,R0009USD,Zucchini Trading Pte Ltd,669758,98808859,USD,-1000,-1400,P5057,4,S091,Danny,85088856
20151130,B161-0513,R0013USD,Pomegranate Logistics Pte Ltd,162579,96864649,USD,94050,131670,P5058,4,S092,Eugiene,85094519
20151120,D161000532,S0003USD,Coconut Logistics Pte Ltd,767961,96621183,USD,-40000,-56000,P5059,4,S095,Mary,85095164
20151202,D161000567,S0003USD,Coconut Logistics Pte Ltd,767961,96621183,USD,-20000,-28000,P5060,4,S094,John,85084094
20151208,D161000583,S0003USD,Coconut Logistics Pte Ltd,767961,96621183,USD,-19834,-27767.6,P5061,4,S095,Mary,85095164
20151203,B161-0575,S0007USD,Nectarine Marketing Pte Ltd,864955,98254166,USD,62433,87406.2,P5062,4,S094,John,85084094
20151207,B161-0592,S0007USD,Nectarine Marketing Pte Ltd,864955,98254166,USD,134400,188160,P5063,3,S088,Ali,85084183
20151029,B161-0468,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,32118.4,32118.4,P5064,2,S088,Ali,85084183
20151116,B161-0527,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,44534.26,44534.26,P5065,4,S088,Ali,85084183
20151120,B161-0509,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,21181.72,21181.72,P5066,5,S095,Mary,85095164
20151202,B161-0551,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,14780.77,14780.77,P5067,1,S091,Danny,85088856
20151204,B161-0576,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,6739.4,6739.4,P5068,1,S091,Danny,85088856
20151208,B161-0584,S0027USD,Marionberry Distribution Pte Ltd,748803,95367608,USD,19570.41,27398.57,P5069,1,S094,John,85084094
20151207,B161-0561,U0003SGD,Jambul Control Pte Ltd,686369,96144182,SGD,5946.23,5946.23,P5070,1,S095,Mary,85095164
20151124,B161-0526,V0001USD,Cucumber Expert Pte Ltd,883937,97472878,USD,88725,124215,P5071,5,S088,Ali,85084183
20151130,B161-0531,V0001USD,Cucumber Expert Pte Ltd,883937,97472878,USD,88725,124215,P5072,2,S093,Lily,85089620
20151130,B161-0543,V0001USD,Cucumber Expert Pte Ltd,883937,97472878,USD,88725,124215,P5073,5,S090,Charles,85081768
20151216,ICG_B161-0619,E0011USD,Salal berry Distribution Pte Ltd,105580,94521854,USD,211122.13,296563.26,P5074,5,S091,Danny,85088856
20151217,BR_D161000606,D0003USD,Squash Innovation Pte Ltd,763797,96511275,USD,22567.5,31594.5,P5075,4,S092,Eugiene,85094519
20151217,BR_D161000613,V0001USD,Cucumber Expert Pte Ltd,883937,97472878,USD,88725,124215,P5076,3,S093,Lily,85089620
20151217,BR_D161000608,B0008USD,Strawberry Marketing Pte Ltd,994180,96845426,USD,397648,5560206.5,P5077,3,S091,Danny,85088856
20151215,BR_D161000605,D0012USD,Nectarine Import & Export Pte Ltd,418203,95427692,USD,94470.3,132258.42,P5078,1,S090,Charles,85081768
20151217,BR_D161000611,N009USD,White Sapote Trading Pte Ltd,611106,95184981,USD,53514,74919.6,P5079,1,S088,Ali,85084183
20151214,BR_D1610000600,S0027USD,Marionberry Distribution Pte Ltd,748803,95367608,USD,19570.41,27570.79,P5080,1,S088,Ali,85084183
20151221,BR_d161000619,D0013SGD,Redcurrant United Pte Ltd,423834,97184210,SGD,11709.04,11709.04,P5081,3,S089,Bala,85084539
20151223,BR_D161000629,E0011USD,Salal berry Distribution Pte Ltd,105580,94521854,USD,211122.13,296563.26,P5082,3,S095,Mary,85095164
20151215,BR_D161000601,A0058USD,Black sapote Dealer Pte Ltd,118472,98888191,USD,13038.16,18253.42,P5083,5,S090,Charles,85081768
20151217,BR_D161000607,S0007USD,Nectarine Marketing Pte Ltd,864955,98254166,USD,30000,42000,P5084,5,S095,Mary,85095164
20151203,ICG_B161-0579,G0014USD,Mulberry Trading Pte Ltd,218685,97519444,USD,42900,60060,P5085,1,S092,Eugiene,85094519
20151218,ICG_B161-0623,T0012USD,Pea Import Pte Ltd,892655,94574310,USD,6413.9,9009.61,P5086,5,S095,Mary,85095164
20151222,ICG_B161-0631,H0008SGD,Jambul Trading Pte Ltd,614932,96010008,SGD,2597.69,2597.69,P5087,5,S091,Danny,85088856
20151224,BR_D161000635,P0016SGD,Cherry Automation Pte Ltd,931860,99477183,SGD,2178.69,2178.69,P5088,2,S091,Danny,85088856
20151224,BR_D161000632,K0013USD,Kumquat Expert Pte Ltd,302576,99504953,USD,319769.6,447677.44,P5089,5,S089,Bala,85084539
20151229,ICG_B161-0636,G0002SGD,Akee Export Pte Ltd,688385,95973446,SGD,7522.96,7522.96,P5090,1,S091,Danny,85088856
20151215,ICG_B161-0618,T0014USD,Passionfruit Export Pte Ltd,327079,99069785,USD,90300,126420,P5091,3,S090,Charles,85081768
20151208,ICG_B161-0534,A0057USD,Currant Logistics Pte Ltd,580028,99472893,USD,210000,294000,P5092,5,S095,Mary,85095164
20151224,ICG_B161-0644,K0005USD,Honeyberry Dealer Pte Ltd,601097,99056754,USD,94015.8,131622.12,P5093,4,S088,Ali,85084183
20151204,ICG_B161-0586,S0003USD,Coconut Logistics Pte Ltd,767961,96621183,USD,203575.68,285005.95,P5094,4,S089,Bala,85084539
20151211,ICG_B161-0585,M0009USD,Kiwano (horned melon) Specialist Pte Ltd,135921,99503962,USD,132300,185220,P5095,4,S091,Danny,85088856
20151222,ICG_B161-0546,C0009USD,Buddha's hand (fingered citron) Innovation Pte Ltd,117238,96249489,USD,41210,57694,P5096,4,S091,Danny,85088856
20151203,ICG_B161-0575,S0007USD,Nectarine Marketing Pte Ltd,864955,98254166,USD,80271,112379.4,P5097,4,S093,Lily,85089620
20151221,ICG_b161-0596,L0003USD,Pineapple Import & Export Pte Ltd,566999,96107959,USD,125579.16,175810.82,P5098,3,S089,Bala,85084539
20151221,BR_D161000620,B0008USD,Strawberry Marketing Pte Ltd,994180,96845426,USD,199752,281410.62,P5099,5,S088,Ali,85084183
20151217,BR_D161000610,A0066USD,Jambul Expert Pte Ltd,404269,95252744,USD,84645,118503,P5100,4,S093,Lily,85089620
20151217,BR_D161000609,P0017USD,Jabuticaba Import Pte Ltd,967333,96158910,USD,81500,114100,P5101,5,S094,John,85084094
20151224,ICG_B161-0645,N0004USD,Cucumber Expert Pte Ltd,671919,97139826,USD,184500,258300,P5102,2,S094,John,85084094
20151229,BR_D161000641,G0002SGD,Akee Export Pte Ltd,688385,95973446,SGD,14642.52,14642.52,P5103,3,S090,Charles,85081768
20151229,BR_D161000640,H0008SGD,Jambul Trading Pte Ltd,614932,96010008,SGD,7976.05,7976.05,P5104,4,S090,Charles,85081768
20151221,BR_D161000623  ,M0032USD,Olive Import & Export Pte Ltd,321002,95287590,USD,75240,105336,P5105,5,S089,Bala,85084539
20151204,ICG_B161-0545,C0009USD,Buddha's hand (fingered citron) Innovation Pte Ltd,117238,96249489,USD,41210,57694,P5106,2,S093,Lily,85089620
20151217,BR_D161000614 ,N009USD,White Sapote Trading Pte Ltd,611106,95184981,USD,27748,38847.2,P5107,3,S095,Mary,85095164
20151230,ICG_B161-0652,G0002SGD,Akee Export Pte Ltd,688385,95973446,SGD,15857.72,15857.72,P5108,2,S092,Eugiene,85094519
20151230,ICG_B161-0643,F0001USD,Goji berry Automation Pte Ltd,402789,99114441,USD,132593.7,187195.79,P5109,1,S095,Mary,85095164
20151221,ICG_B161-0637,S0021SGD,Star fruit Expert Pte Ltd,810519,98364996,SGD,5153.66,5153.66,P5110,1,S092,Eugiene,85094519
20151215,ICG_B161-0564,B0015USD,Pumpkin Logistics Pte Ltd,747808,98255767,USD,91850,128590,P5111,5,S091,Danny,85088856
20151231,ICG_B161-0634,F0002USD,Watermelon Parallel Importer Pte Ltd,924143,98098853,USD,80125.2,112175.28,P5112,5,S090,Charles,85081768
20151230,ICG_B161-0654,F0001USD,Goji berry Automation Pte Ltd,402789,99114441,USD,6941.09,9799.43,P5113,1,S090,Charles,85081768
20151230,ICG_B161-0655,D0013SGD,Redcurrant United Pte Ltd,423834,97184210,SGD,6418.93,6418.93,P5114,1,S091,Danny,85088856
20151231,BR_D161000646,L0002USD,Salak Relay Pte Ltd,867635,96059905,USD,201750,282450,P5115,4,S094,John,85084094
20151230,BR_D161000643  ,R0013USD,Pomegranate Logistics Pte Ltd,162579,96864649,USD,94600,132440,P5116,1,S090,Charles,85081768
20160104,BR_D161000642   ,A0057USD,Currant Logistics Pte Ltd,580028,99472893,USD,210000,294000,P5117,2,S089,Bala,85084539
20151229,BR_D161000639   ,H0006USD,Watermelon Export Pte Ltd,504752,95363972,USD,70000,98000,P5118,4,S092,Eugiene,85094519
20160104,BR_D161000647    ,V0001USD,Cucumber Expert Pte Ltd,883937,97472878,USD,88725,124215,P5119,2,S094,John,85084094
20151224,ICG_B161-0567,C0008USD,Tamarillo Marketing Pte Ltd,584599,96435545,USD,85500,119700,P5120,3,S090,Charles,85081768
20151229,BR_D161000638 ,G0007USD,Cranberry Export Pte Ltd,683736,97067971,USD,207408,290371.2,P5121,2,S090,Charles,85081768
20151211,ICG_B161-0594,S0002USD,Ugli fruit Expert Pte Ltd,244049,96520595,USD,130033.96,182567.68,P5122,3,S090,Charles,85081768
20151228,BR_D161000636,S0002USD,Ugli fruit Expert Pte Ltd,244049,96520595,USD,96833.8,135954.66,P5123,5,S093,Lily,85089620
20151224,BR_D161000633  ,T0014USD,Passionfruit Export Pte Ltd,327079,99069785,USD,90300,126420,P5124,2,S093,Lily,85089620
20151224,BR_D161000631      ,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,247466.35,346452.89,P5125,4,S090,Charles,85081768
20151223,BR_D161000630  ,P0002USD,Clementine Distribution Pte Ltd,538943,97645259,USD,236250,330750,P5126,1,S088,Ali,85084183
20151223,BR_D161000628,E0011USD,Salal berry Distribution Pte Ltd,105580,94521854,USD,4912.16,6877.02,P5127,1,S091,Danny,85088856
20151218,BR_D161000615,H0008SGD,Jambul Trading Pte Ltd,614932,96010008,SGD,2049.95,2049.95,P5128,3,S091,Danny,85088856
20160104,BR_D161000648,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,319375,447125,P5129,3,S094,John,85084094
20151229,BR_D161000637,C0020USD,Durian Import Pte Ltd,850059,95801996,USD,61184.2,85657.88,P5130,4,S088,Ali,85084183
20151230,BR_D161000644,U0003SGD,Jambul Control Pte Ltd,686369,96144182,SGD,5946.23,5946.23,P5131,1,S091,Danny,85088856
20151222,BR_D161000625,T0012USD,Pea Import Pte Ltd,892655,94574310,USD,13138.64,18455.85,P5132,1,S094,John,85084094
20151218,BR_D161000618,M0009USD,Kiwano (horned melon) Specialist Pte Ltd,135921,99503962,USD,34800,48720,P5133,1,S088,Ali,85084183
20151218,BR_D161000616,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,32118.4,32118.4,P5134,1,S094,John,85084094
20151229,ICG_B161-0642,U0003SGD,Jambul Control Pte Ltd,686369,96144182,SGD,6315.08,6315.08,P5135,2,S093,Lily,85089620
20160106,ICG_B161-0674,U0003SGD,Jambul Control Pte Ltd,686369,96144182,SGD,2597.69,2597.69,P5136,1,S094,John,85084094
20151215,ICG_B161-0560,G0011USD,Persimmon Relay Pte Ltd,817095,96093740,USD,87675,122745,P5137,5,S089,Bala,85084539
20160106,BR_D161000650,G0011USD,Persimmon Relay Pte Ltd,817095,96093740,USD,87675,122745,P5138,3,S092,Eugiene,85094519
20160105,ICG_B161-0676,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,35916.05,35916.05,P5139,3,S092,Eugiene,85094519
20160104,ICG_B161-0678,S0023SGD,Grape Relay Pte Ltd,364211,95033313,SGD,17958.02,17958.02,P5140,1,S094,John,85084094
20151230,ICG_B161-0649,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,239750.25,335650.35,P5141,3,S089,Bala,85084539
20151230,ICG_B161-0650,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,239750.25,335650.35,P5142,4,S095,Mary,85095164
20151230,ICG_B161-0651,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,319375,447125,P5143,5,S095,Mary,85095164
20151224,ICG_B161-0661,A0053USD,Apple Master Pte Ltd,983831,99184116,USD,23741.25,33237.75,P5144,4,S089,Bala,85084539
20151225,ICG_B161-0568,A0024USD,Juniper berry Expert Pte Ltd,501067,98382557,USD,85500,119700,P5145,5,S091,Danny,85088856
20151225,ICG_B161-0569,A0024USD,Juniper berry Expert Pte Ltd,501067,98382557,USD,85500,119700,P5146,4,S094,John,85084094
20151225,ICG_B161-0571,P0017USD,Jabuticaba Import Pte Ltd,967333,96158910,USD,86000,120400,P5147,5,S094,John,85084094
20151225,ICG_B161-0572,K0023USD,Black sapote Logistics Pte Ltd,106846,97761753,USD,86000,120400,P5148,4,S094,John,85084094
20151225,ICG_B161-0573,S0008USD,Salmonberry Relay Pte Ltd,724735,96288134,USD,86000,120400,P5149,3,S091,Danny,85088856
20151211,ICG_B161-0604,N009USD,White Sapote Trading Pte Ltd,611106,95184981,USD,0,0,P5150,4,S094,John,85084094
20151225,ICG_B161-0603,A0043USD,Kiwifruit Control Pte Ltd,681722,98282333,USD,427500,598500,P5151,4,S090,Charles,85081768
20151225,ICG_B161-0601,A0057USD,Currant Logistics Pte Ltd,580028,99472893,USD,87000,121800,P5152,3,S091,Danny,85088856
20151222,ICG_B161-0600,B0010USD,Blueberry Control Pte Ltd,365024,96207948,USD,90750,127050,P5153,2,S089,Bala,85084539
20151222,ICG_B161-0599,A0024USD,Juniper berry Expert Pte Ltd,501067,98382557,USD,90750,127050,P5154,4,S091,Danny,85088856
20151225,ICG_B161-0574,D0018USD,Buddha's hand (fingered citron) Master Pte Ltd,490928,97697075,USD,86000,120400,P5155,3,S090,Charles,85081768
20151225,ICG_B161-0570,A0024USD,Juniper berry Expert Pte Ltd,501067,98382557,USD,86000,120400,P5156,4,S094,John,85084094
20151207,ICG_B161-0518,N0006USD,Honeydew Marketing Pte Ltd,996438,97837658,USD,81000,100002.6,P5157,1,S091,Danny,85088856
20160101,ICG_B161-0616,B0016USD,Pineapple Innovation Pte Ltd,113086,95238632,USD,88000,123200,P5158,4,S089,Bala,85084539
20160101,ICG_B161-0610,T0015USD,Pineberry Logistics Pte Ltd,497863,98526673,USD,88000,123200,P5159,5,S095,Mary,85095164
20151225,ICG_B161-0602,A0067USD,Huckleberry Specialist Pte Ltd,904727,98930564,USD,87000,121800,P5160,1,S095,Mary,85095164
20160111,ICG_B161-0629,J0011USD,Squash Dealer Pte Ltd,946627,99276539,USD,89000,124600,P5161,1,S092,Eugiene,85094519
20160111,ICG_B161-0630,A0043USD,Kiwifruit Control Pte Ltd,681722,98282333,USD,222500,311500,P5162,4,S092,Eugiene,85094519
20160106,ICG_B161-0656,D0013SGD,Redcurrant United Pte Ltd,423834,97184210,SGD,1850.4,1850.4,P5163,4,S095,Mary,85095164
20160111,ICG_B161-0633,G0016USD,Dragonfruit (or Pitaya) Relay Pte Ltd,807806,96168447,USD,89000,124600,P5164,3,S094,John,85084094
20160111,ICG_B161-0638,P0007USD,Salmonberry Distribution Pte Ltd,625061,96719272,USD,89000,124600,P5165,4,S088,Ali,85084183
20160111,ICG_B161-0640,A0068USD,Juniper berry Distribution Pte Ltd,822373,99500676,USD,440000,616000,P5166,1,S092,Eugiene,85094519
20160111,ICG_B161-0647,B0017USD,Plum Parallel Importer Pte Ltd,460025,98829608,USD,89000,124600,P5167,4,S092,Eugiene,85094519
20151230,ICG_B161-0621,B0015USD,Pumpkin Logistics Pte Ltd,747808,98255767,USD,94600,132440,P5168,5,S091,Danny,85088856
20160101,ICG_B161-0677,N009USD,White Sapote Trading Pte Ltd,611106,95184981,USD,79384.59,111138.43,P5169,2,S088,Ali,85084183
20160107,ICG_B161-0686,S0026SGD,Jujube Innovation Pte Ltd,442026,94724875,SGD,21549.63,21549.63,P5170,4,S093,Lily,85089620
20160104,ICG_B161-0675,H0006USD,Watermelon Export Pte Ltd,504752,95363972,USD,44452.8,62233.92,P5171,5,S090,Charles,85081768
20160111,ICG_B161-0693,P0005USD,Cherry Master Pte Ltd,917470,94954321,USD,1045350,1463490,P5172,5,S095,Mary,85095164
20151223,ICG_B161-0565,C0009USD,Buddha's hand (fingered citron) Innovation Pte Ltd,117238,96249489,USD,83330,116662,P5173,3,S091,Danny,85088856
20160111,ICG_B161-0692,P0016SGD,Cherry Automation Pte Ltd,931860,99477183,SGD,2157.12,2157.12,P5174,5,S090,Charles,85081768
20160111,ICG_B161-0641,P0016SGD,Cherry Automation Pte Ltd,931860,99477183,SGD,2157.12,2157.12,P5175,1,S093,Lily,85089620
20160111,ICG_B161-0695,S0027USD,Marionberry Distribution Pte Ltd,748803,95367608,USD,6500.25,9158.85,P5176,2,S093,Lily,85089620
20160112,BR_D161000667 ,H0006USD,Watermelon Export Pte Ltd,504752,95363972,USD,74220.4,103908.56,P5177,4,S089,Bala,85084539
20160111,BR_D161000666,N009USD,White Sapote Trading Pte Ltd,611106,95184981,USD,51152.59,71613.63,P5178,4,S091,Danny,85088856
20160111,BR_D161000665   ,K0023USD,Black sapote Logistics Pte Ltd,106846,97761753,USD,86500,121100,P5179,5,S095,Mary,85095164
20160111,BR_D161000664  ,F0002USD,Watermelon Parallel Importer Pte Ltd,924143,98098853,USD,80125.2,112175.28,P5180,3,S092,Eugiene,85094519
20160111,BR_D161000663 ,P0005USD,Cherry Master Pte Ltd,917470,94954321,USD,1045350,1463490,P5181,4,S092,Eugiene,85094519
20160108,BR_D161000661,N009USD,White Sapote Trading Pte Ltd,611106,95184981,USD,28232,39524.8,P5182,3,S094,John,85084094
20160108,BR_D161000659,A0057USD,Currant Logistics Pte Ltd,580028,99472893,USD,87000,121800,P5183,3,S090,Charles,85081768
20151215,ICG_B161-0549,M0027USD,Miracle fruit Control Pte Ltd,650558,98622063,USD,91850,128590,P5184,3,S093,Lily,85089620
20160108,BR_D161000658   ,M0027USD,Miracle fruit Control Pte Ltd,650558,98622063,USD,91850,128590,P5185,1,S093,Lily,85089620
20160108,BR_D161000657,P0017USD,Jabuticaba Import Pte Ltd,967333,96158910,USD,86500,121100,P5186,3,S092,Eugiene,85094519
20160108,BR_D161000656 ,S0008USD,Salmonberry Relay Pte Ltd,724735,96288134,USD,86000,120400,P5187,5,S090,Charles,85081768
20160108,BR_D161000655,A0043USD,Kiwifruit Control Pte Ltd,681722,98282333,USD,427500,598500,P5188,5,S094,John,85084094
20160107,BR_D161000652,N0006USD,Honeydew Marketing Pte Ltd,996438,97837658,USD,81000,100002.6,P5189,1,S089,Bala,85084539
20160107,BR_D161000651 ,A0053USD,Apple Master Pte Ltd,983831,99184116,USD,23741.25,33237.75,P5190,2,S093,Lily,85089620
20160108,ICG_B161-0698,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,239750.25,335650.35,P5191,2,S088,Ali,85084183
20160107,BR_OS20160107,A0024USD,Juniper berry Expert Pte Ltd,501067,98382557,USD,347750,486850,P5192,2,S092,Eugiene,85094519
20160114,BR_D161000678  ,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,798875.5,1118425.7,P5193,4,S088,Ali,85084183
20160114,BR_D161000679,M0009USD,Kiwano (horned melon) Specialist Pte Ltd,135921,99503962,USD,97500,136500,P5194,1,S094,John,85084094
20160107,ICG_B161-0688,K0019USD,Apple Logistics Pte Ltd,514194,97551747,USD,86250,120750,P5195,5,S088,Ali,85084183
20151204,ICG_BA123,A0058USD,Black sapote Dealer Pte Ltd,118472,98888191,USD,0,0,P5196,5,S094,John,85084094
20151211,BR_D161000596 ,B0007USD,Strawberry Dealer Pte Ltd,403667,96147665,USD,17000,23800,P5197,1,S094,John,85084094
